Logging to ./baseline_seed_data/bipedalwalker/
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 740      |
|    ep_rew_mean     | -170     |
| time/              |          |
|    fps             | 774      |
|    iterations      | 1        |
|    time_elapsed    | 2        |
|    total_timesteps | 2048     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 795         |
|    ep_rew_mean          | -150        |
| time/                   |             |
|    fps                  | 632         |
|    iterations           | 2           |
|    time_elapsed         | 6           |
|    total_timesteps      | 4096        |
| train/                  |             |
|    approx_kl            | 0.006721206 |
|    clip_fraction        | 0.0506      |
|    clip_range           | 0.2         |
|    entropy_loss         | -5.66       |
|    explained_variance   | 0.00537     |
|    learning_rate        | 0.0003      |
|    loss                 | 11.7        |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.0055     |
|    std                  | 0.994       |
|    value_loss           | 82.1        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 930         |
|    ep_rew_mean          | -140        |
| time/                   |             |
|    fps                  | 599         |
|    iterations           | 3           |
|    time_elapsed         | 10          |
|    total_timesteps      | 6144        |
| train/                  |             |
|    approx_kl            | 0.011307647 |
|    clip_fraction        | 0.101       |
|    clip_range           | 0.2         |
|    entropy_loss         | -5.66       |
|    explained_variance   | 0.068       |
|    learning_rate        | 0.0003      |
|    loss                 | 70.5        |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.00973    |
|    std                  | 1           |
|    value_loss           | 74          |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 903         |
|    ep_rew_mean          | -130        |
| time/                   |             |
|    fps                  | 520         |
|    iterations           | 4           |
|    time_elapsed         | 15          |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.014049429 |
|    clip_fraction        | 0.192       |
|    clip_range           | 0.2         |
|    entropy_loss         | -5.63       |
|    explained_variance   | -0.302      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.344       |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0166     |
