Logging to ./baseline_seed_data/bipedalwalker/
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 281      |
|    ep_rew_mean     | -110     |
| time/              |          |
|    fps             | 718      |
|    iterations      | 1        |
|    time_elapsed    | 2        |
|    total_timesteps | 2048     |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 291          |
|    ep_rew_mean          | -112         |
| time/                   |              |
|    fps                  | 600          |
|    iterations           | 2            |
|    time_elapsed         | 6            |
|    total_timesteps      | 4096         |
| train/                  |              |
|    approx_kl            | 0.0075000823 |
|    clip_fraction        | 0.0696       |
|    clip_range           | 0.2          |
|    entropy_loss         | -5.67        |
|    explained_variance   | -0.0106      |
|    learning_rate        | 0.0003       |
|    loss                 | 123          |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.00892     |
|    std                  | 0.995        |
|    value_loss           | 227          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 343          |
|    ep_rew_mean          | -112         |
| time/                   |              |
|    fps                  | 573          |
|    iterations           | 3            |
|    time_elapsed         | 10           |
|    total_timesteps      | 6144         |
| train/                  |              |
|    approx_kl            | 0.0073005827 |
|    clip_fraction        | 0.06         |
|    clip_range           | 0.2          |
|    entropy_loss         | -5.65        |
|    explained_variance   | -0.0884      |
|    learning_rate        | 0.0003       |
|    loss                 | 116          |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.00872     |
|    std                  | 0.992        |
|    value_loss           | 184          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 312         |
|    ep_rew_mean          | -113        |
| time/                   |             |
|    fps                  | 512         |
|    iterations           | 4           |
|    time_elapsed         | 15          |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.013737127 |
|    clip_fraction        | 0.164       |
|    clip_range           | 0.2         |
|    entropy_loss         | -5.61       |
|    explained_variance   | 0.203       |
|    learning_rate        | 0.0003      |
|    loss                 | 8.13        |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0131     |
|    std                  | 0.983       |
|    value_loss           | 55.4        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 359          |
|    ep_rew_mean          | -113         |
| time/                   |              |
|    fps                  | 517          |
|    iterations           | 5            |
|    time_elapsed         | 19           |
|    total_timesteps      | 10240        |
| train/                  |              |
|    approx_kl            | 0.0046762684 |
|    clip_fraction        | 0.0137       |
|    clip_range           | 0.2          |
|    entropy_loss         | -5.6         |
|    explained_variance   | 0.226        |
|    learning_rate        | 0.0003       |
|    loss                 | 81.6         |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.00691     |
|    std                  | 0.982        |
|    value_loss           | 196          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 404         |
|    ep_rew_mean          | -112        |
| time/                   |             |
|    fps                  | 522         |
|    iterations           | 6           |
|    time_elapsed         | 23          |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.009675117 |
|    clip_fraction        | 0.135       |
|    clip_range           | 0.2         |
|    entropy_loss         | -5.58       |
|    explained_variance   | 0.914       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.285       |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0108     |
|    std                  | 0.972       |
|    value_loss           | 1.52        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 421         |
|    ep_rew_mean          | -112        |
| time/                   |             |
|    fps                  | 498         |
|    iterations           | 7           |
|    time_elapsed         | 28          |
|    total_timesteps      | 14336       |
| train/                  |             |
|    approx_kl            | 0.009126489 |
|    clip_fraction        | 0.0822      |
|    clip_range           | 0.2         |
|    entropy_loss         | -5.55       |
|    explained_variance   | 0.936       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.119       |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.0085     |
|    std                  | 0.968       |
|    value_loss           | 0.821       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 480          |
|    ep_rew_mean          | -112         |
| time/                   |              |
|    fps                  | 491          |
|    iterations           | 8            |
|    time_elapsed         | 33           |
|    total_timesteps      | 16384        |
| train/                  |              |
|    approx_kl            | 0.0064327093 |
|    clip_fraction        | 0.0466       |
|    clip_range           | 0.2          |
|    entropy_loss         | -5.55        |
|    explained_variance   | 0.373        |
|    learning_rate        | 0.0003       |
|    loss                 | 27.2         |
|    n_updates            | 70           |
|    policy_gradient_loss | -0.00644     |
|    std                  | 0.971        |
|    value_loss           | 46.1         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 512          |
|    ep_rew_mean          | -112         |
| time/                   |              |
|    fps                  | 487          |
|    iterations           | 9            |
|    time_elapsed         | 37           |
|    total_timesteps      | 18432        |
| train/                  |              |
|    approx_kl            | 0.0084133055 |
|    clip_fraction        | 0.0875       |
|    clip_range           | 0.2          |
|    entropy_loss         | -5.55        |
|    explained_variance   | 0.502        |
|    learning_rate        | 0.0003       |
|    loss                 | 7.61         |
|    n_updates            | 80           |
|    policy_gradient_loss | -0.00717     |
|    std                  | 0.966        |
|    value_loss           | 22.7         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 529         |
|    ep_rew_mean          | -112        |
| time/                   |             |
|    fps                  | 477         |
|    iterations           | 10          |
|    time_elapsed         | 42          |
|    total_timesteps      | 20480       |
| train/                  |             |
|    approx_kl            | 0.009973231 |
|    clip_fraction        | 0.125       |
|    clip_range           | 0.2         |
|    entropy_loss         | -5.5        |
|    explained_variance   | 0.77        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.137       |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.0133     |
|    std                  | 0.954       |
|    value_loss           | 0.478       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 557          |
|    ep_rew_mean          | -112         |
| time/                   |              |
|    fps                  | 467          |
|    iterations           | 11           |
|    time_elapsed         | 48           |
|    total_timesteps      | 22528        |
| train/                  |              |
|    approx_kl            | 0.0068777082 |
|    clip_fraction        | 0.0662       |
|    clip_range           | 0.2          |
